pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
9SMp4yLKGtW9TnLimfVPkDARsyNSfJw43WMke4r7KoZj,"PUMP / USDC",meteora,pump-fun,usd-coin,pump-fun,1709032873,above,single_subject:cg_mcap,2515260,62450018
HbjYfcWZBjCBYTJpZkLGxqArVmZVu3mQcRudb6Wg1sVh,"PUMP / SOL",meteora,pump-fun,wrapped-solana,pump-fun,1709032873,above,single_subject:cg_mcap,1476618,56174487
AXTq4JHNYHSnooqjoDmtL9WW5eEgnkkMSWq76Kznidnz,"PENIS / PUMP",raydium,,pump-fun,PENIS,623965,below,min_cap_of_two:gt_fdv,877389,9591470
8erNF5u3CHrqZJXtkfY8CjSxFYF1yqHmN8uDbAhk6tWM,"PYTH / SOL",orca,pyth-network,wrapped-solana,pyth-network,442009390,above,single_subject:cg_mcap,656182,13929039
9n3dSLrERZQp95dHXywft7xV8D8xnGFLaUHtEhQVaXaC,"PYTH / SOL 0.25%",raydium-clmm,pyth-network,wrapped-solana,pyth-network,442009390,above,single_subject:cg_mcap,393538,10996081
6UmmUiYoBjSrhakAobJw8BvkmJtDVxaeBtbt7rxWo1mg,"RAY / USDC",raydium,raydium,usd-coin,raydium,395459278,above,single_subject:cg_mcap,1779255,50150026
987VwvJZ5FRjWCY9ZwC2tRUGL8FbMT1aF4pUrT7XjPjD,"RAYCAT / RAY",raydium-clmm,raydium-cat,raydium,raydium-cat,7833688,below,min_cap_of_two:cg_mcap,1558891,19569336
AVs9TA4nWDzfPJE9gGVNJMVhcQy3V9PGazuz33BfG2RA,"RAY / SOL",raydium,raydium,wrapped-solana,raydium,395459278,above,single_subject:cg_mcap,1369354,33166016
DVa7Qmb5ct9RCpaU7UTpSaf3GVMYz17vNVU67XpdCRut,"RAY / USDT",raydium,raydium,tether,raydium,395459278,above,single_subject:cg_mcap,400806,10629078
Enfoa5Xdtirwa46xxa5LUVcQWe7EUb2pGzTjfvU7EBS1,"RAY / SOL 0.25%",raydium-clmm,raydium,wrapped-solana,raydium,395459278,above,single_subject:cg_mcap,162562,3726159
61R1ndXxvsWXXkWSyNkCxnzwd3zUNB8Q2ibmkiLPC8ht,"RAY / USDC 0.25%",raydium-clmm,raydium,usd-coin,raydium,395459278,above,single_subject:cg_mcap,149901,3197446
D3C5H4YU7rjhK7ePrGtK1Bhde4tfeiTr98axdZnA7tet,"RAY / SOL",orca,raydium,wrapped-solana,raydium,395459278,above,single_subject:cg_mcap,74767,2622182
6gpZ9JkLoYvpA5cwdyPZFsDw6tkbPyyXM5FqRqHxMCny,"mSOL / RAY",raydium,msol,raydium,raydium,395459278,above,single_subject:cg_mcap,35987,781469
CKXTwAqnJXaR5C6PxDKRwrmq5GodFgoTAbSJFsBp1ysU,"YAR / RAY",raydium,,raydium,YAR,11101,below,min_cap_of_two:gt_fdv,32367,81233
