pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
0x8c52de694f5a4ce27ea85fe4bc47e08d22c5dfb5f9b38b2a63765ed52cd3b147,"ENA / USDC 0.3%",uniswap-v4-ethereum,ethena,usd-coin,ethena,1410994730,above,single_subject:cg_mcap,37652,5837012
0x5b29d38ddffd8514f9716cb9fb25f0ad89775c190505b4058953539007a03409,"ETH / ENA 0.3%",uniswap-v4-ethereum,ethereum,ethena,ethena,1410994730,above,single_subject:cg_mcap,25940,286475
0x553f5e94603f1fcdaa08eb22499d59e4a39e2f8d071c3c6946c27e5e38754ffc,"ETHFI / ETH",uniswap-v4-ethereum,ether-fi,ethereum,ether-fi,575588264,above,single_subject:cg_mcap,167683,4721606
0x06f00544c0bc62e6db10f46d370dfccdc23d8189,"ETHFI / WETH 0.3%",uniswap_v3,ether-fi,weth,ether-fi,575588264,above,single_subject:cg_mcap,110063,3864049
0x0112df46117acf06ac4cfff94a0c250f2bbe0cfe4c83a69815eed28536d5f428,"LIT / ETH 0.3%",uniswap-v4-ethereum,lighter,ethereum,lighter,1004154713,above,single_subject:cg_mcap,128387,5112896
0x6195aa3314b9636b2a525114aeaa0d2c210d85a63e409c3f809b10ef153f10f5,"LIT / USDC 1%",uniswap-v4-ethereum,lighter,usd-coin,lighter,1004154713,above,single_subject:cg_mcap,94071,5038224
0xcd4abaf39691dcbb877165b7ba6d04ec6436c22a,"LIT / WETH 1%",uniswap_v3,lighter,weth,lighter,1004154713,above,single_subject:cg_mcap,39160,2184159
0x6924d7319b4d74d2ce3a52e732ba1ba03d0100f848ce819a21be25b3085e39be,"PAXG / DAI 0.05%",uniswap-v4-ethereum,pax-gold,dai,pax-gold,1861852952,above,single_subject:cg_mcap,96859,3445489
0x7cb85f75e61226060453a997a7733f76707df337,"PAXG / USDT 0.05%",uniswap_v3,pax-gold,tether,pax-gold,1861852952,above,single_subject:cg_mcap,96227,291133
0xc58102cf5b0807c23601ac8abc2dc410f4b7846208d35e234950a1c150256acd,"PAXG / USDC 0.05%",uniswap-v4-ethereum,pax-gold,usd-coin,pax-gold,1861852952,above,single_subject:cg_mcap,83008,2658151
0x218c659b6bbb73d47c7926fc90d9893342534b84,"PAXG / XAUt",fluid-ethereum,pax-gold,tether-gold,pax-gold,1861852952,above,min_cap_of_two:cg_mcap,54488,4201016
0x4bb2f1067164203bb9007338c523fa7c2fc69bc458c277d285a19650e8ef2239,"PAXG / XAUt 0.05%",uniswap-v4-ethereum,pax-gold,tether-gold,pax-gold,1861852952,above,min_cap_of_two:cg_mcap,44872,5588036
0xb431c70f800100d87554ac1142c4a94c5fe4c0c4,"PAXG / USDC 0.3%",uniswap_v3,pax-gold,usd-coin,pax-gold,1861852952,above,single_subject:cg_mcap,40980,1547802
