pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
0x59de14b62a322e317e753fa23a23b72db0b8c4b593649e69ebcef09c456e2718,"NVDAx3L / USDG 0.3%",uniswap-v4-robinhood,,global-dollar,NVDAx3L,663822,below,single_subject:gt_fdv,2290246,34116532
0x8fa9bd27d6159944727a49fd442158fea3b19893833a4e6d41b120cfd9eab4dd,"FCC / WETH 0.25%",uniswap-v4-robinhood,,ethereum,FCC,3355,below,single_subject:gt_fdv,2231857,0
0x9b050cb1f265094b0977160a2bd7da8c9e529c3c,"WETH / USDG 0.05%",sushiswap-v3-robinhood,weth,global-dollar,,,above,both_quote,2181455,43003575
0x9339e0dfb50301c8548358c5a4c2fc9773ee99e80831c567b1a2615adf3325a7,"INU / WETH 0.25%",uniswap-v4-robinhood,,ethereum,INU,18001,below,single_subject:gt_fdv,2156051,0
0x77d31f9362c1c9cbe18d091dabe7568ed8316fd27d2469ea11e41cbc9d3912c0,"AnsemCat / WETH",uniswap-v4-robinhood,,ethereum,AnsemCat,99978846,below,single_subject:gt_fdv,2100499,15118261
0x6ac6b3a1e78c32ab48152ec079c12014d2a72e8c,"ZFORGE / WETH",uniswap-v2-robinhood,zecforge-tech,weth,zecforge-tech,428399,below,single_subject:cg_fdv,2070939,75291448
0x33aa10d1455a75f0abc5ccaa5bf3058bacee9d6e048923feae4ba212a2722bb7,"MIMIKYU / WETH 0.01%",uniswap-v4-robinhood,,weth,MIMIKYU,10933,below,single_subject:gt_fdv,2063621,0
0xc67c2d200e0b7e5d99f4cfbede8cb09b48892f2c,"glxy / USDG 0.3%",uniswap-v3-robinhood,galaxy-digital-inc-robinhood-token,global-dollar,galaxy-digital-inc-robinhood-token,580371,below,single_subject:cg_mcap,2051699,3059364
0x67983c0d78cea3a8b4a5cc283feeeefd278a8ae5c6504b983b0c72bde13d1c0c,"SPY / HIMS 0.05%",uniswap-v4-robinhood,spdr-s-p-500-etf-trust-robinhood-tokenized-stock,hims-hers-health-inc-robinhood-token,hims-hers-health-inc-robinhood-token,3347682,below,min_cap_of_two:cg_mcap,2050581,9484395
0x0cb9d17c62a3157248902474f245948a35ce265375cf14a626dd5a57f8de2369,"Koa / WETH",pons-v2-dex,,ethereum,Koa,3192,below,single_subject:gt_fdv,2038987,0
